The tag-bigram has the form ti|ti-1
,|rb: 4601
cs|,: 2896
at|cs: 5475
nn|at: 46935
in|nn: 40991
nn|in: 16714
nn|nn: 11320
,|nn: 17757
pps|,: 2624
rb|pps: 669
bez|rb: 172
jj|bez: 1247
to|jj: 1230
vb|to: 11910
cs|vb: 1325
dti|cs: 217
nn|dti: 1133
hvz|nn: 750
at|hvz: 224
jj|at: 18884
nn|jj: 27611
to|nn: 2486
to|vb: 1148
nns|vb: 831
pps|nns: 243
vbz|pps: 1334
.|vbz: 201
at|.: 7649
nns|jj: 11678
bed|nns: 1160
at|bed: 179
vbn|in: 608
nns|vbn: 1239
--|nns: 477
cs|--: 171
bedz|nn: 2566
rb|bedz: 1059
vbn|rb: 2978
in|vbn: 10207
at|in: 41911
jj-tl|at: 1368
nn-tl|jj-tl: 1709
--|nn-tl: 65
cc|--: 414
np|cc: 1887
bedz|np: 933
*|rb: 85
at|*: 306
cc|,: 8773
in|cc: 1952
cc|nn: 8785
nns|in: 5260
.|nns: 7469
np|.: 3487
np|np: 7438
,|np: 5428
at|,: 5206
vbd|,: 1464
ppl|vbd: 200
rb|ppl: 58
in|rb: 5130
cd|in: 3950
,|cd: 1347
vbg|,: 2238
cs|vbg: 322
np|cs: 1131
md|np: 549
*|md: 660
be|*: 198
vbn|be: 2971
cc|vbn: 894
vbn|cc: 992
cs|cc: 734
in|cs: 741
dt|in: 3196
nn|dt: 4252
at|nn: 1009
ppo|vb: 2978
in|ppo: 1740
md|nn: 2727
vb|md: 4976
.|vb: 1249
rb|.: 3626
rb|rb: 968
np|,: 3586
rb|np: 476
vbd|rb: 1652
,|vbd: 1394
nn-tl|at: 2457
md|nn-tl: 187
rb|md: 1005
vb|rb: 1700
``|np: 43
md|``: 47
vbg|in: 3727
pp$|vbg: 634
nns|pp$: 3149
in|nns: 14077
dts|in: 1012
wps|dts: 204
vb|wps: 407
in|vb: 4602
ppo|in: 3863
pp$|in: 7440
nn|pp$: 8378
''|nn: 2653
.|'': 4495
ppss|.: 2988
nr|ppss: 1
ber|nr: 4
*|ber: 192
vbn|*: 363
to|vbn: 1492
jj|vb: 1265
wps|nns: 940
vbd|wps: 935
np|vbd: 651
to|np: 216
be|to: 1635
ql|be: 241
jj|ql: 4264
cc|jj: 2665
wps|cc: 84
pp$|vbd: 1189
at|vb: 5844
nns|at: 7001
pn|.: 259
md|pn: 205
--|vb: 65
dt|cs: 507
bez|dt: 604
at|bez: 1928
--|nn: 1028
vbd|nn: 3203
in|vbd: 4242
vbg|pp$: 234
at|vbg: 2396
in|nn-tl: 824
od-tl|at: 94
nn-tl|od-tl: 129
,|nn-tl: 1562
rb|cc: 2366
to|rb: 524
,|ppo: 1272
rb|,: 3264
cs|rb: 1662
vb|cs: 25
np|vb: 457
vb|np: 172
cs|ppo: 462
vbg|at: 1534
nn|vbg: 2745
wrb|nn: 671
pp$|wrb: 102
.|ppo: 1913
dod|pps: 262
vb|dod: 87
cs|jj: 1475
nn|cs: 967
nns|dts: 1143
,|nns: 7164
np$|cs: 99
nn|np$: 1248
ppss|,: 1708
hvd|ppss: 568
rb|hvd: 381
nps|in: 96
.|nps: 131
pp$|.: 1000
jj|in: 7805
hvd|nn: 670
cs|vbn: 1157
ppss|cs: 2322
md|ppss: 2020
``|vb: 76
jj|``: 589
in|'': 364
np|vbg: 191
at|np: 163
``|at: 581
''|jj: 545
nn|'': 222
.|nn: 19308
vb|.: 712
abn|vb: 172
dt|abn: 81
--|dt: 17
rb|--: 213
wrb|,: 669
jj|wrb: 149
np|jj: 730
cc|np: 1847
at|cc: 3870
np-tl|at: 796
nn-tl|np-tl: 1461
nn-tl|nn-tl: 1853
vb|nn-tl: 38
np|nns: 98
vbd|np: 3716
abn|in: 1021
np|abn: 19
at|vbd: 3802
pps|nn: 870
vbd|pps: 5986
vb|ppss: 3080
wrb|.: 801
jj-tl|wrb: 7
np-tl|jj-tl: 845
nn|np-tl: 115
bez|nn: 3629
vbn|bez: 1654
np|in: 6421
cd|np: 628
cd|,: 1020
--|cd: 38
pps|cs: 2924
md|pps: 1963
nn-tl|cs: 116
np|nn-tl: 1052
hvd|np: 679
at|hvd: 429
,|vbg: 686
``|,: 1063
at|``: 493
cc|nps: 118
nps|cc: 58
bez|nps: 5
.|np: 2538
.|.: 5742
bez|nn-tl: 175
np|at: 2162
''|np: 592
--|'': 166
in|--: 269
vbn|dts: 68
jj|vbn: 722
vbz|nn: 1969
rb|vbz: 345
at|rb: 1995
in|,: 4468
rb|nn-tl: 112
hvd|.: 30
pps|hvd: 35
vbn|pps: 20
rb|vbn: 1272
hv|md: 938
vbn|hv: 1220
,|jj: 3335
md|cc: 281
at|md: 95
nr|vb: 80
to|nr: 29
np$|vb: 64
ap|nn: 160
in|ap: 1184
in|in: 1277
rp|vbg: 545
in|rp: 1968
jj|pp$: 2987
cc|nns: 4020
vbg|cc: 1011
``|vbg: 49
fw-vbd|``: 1
''|fw-vbd: 1
dod|nn-tl: 7
*|dod: 432
rb|*: 650
ql|vbd: 230
rb|ql: 1977
wdt|in: 1372
md|wdt: 365
ben|hv: 641
at|ben: 227
np$|vbd: 75
dod|cs: 16
rb|dod: 28
np|rb: 257
cs|.: 2033
rp|vbd: 1444
cc|vbg: 448
vbd|cc: 2171
*|cs: 97
in|*: 245
.|nn-tl: 1125
in|.: 4410
nn-tl|,: 401
ppo|vbd: 1940
rb|ppo: 679
--|ppo: 111
pp$|cs: 626
abn|.: 185
jj|dt: 740
wdt|,: 758
in|wdt: 108
vbz|ppo: 13
in|vbz: 1259
vbz|,: 484
ppo|vbz: 358
to|ppo: 497
rp|nn: 294
cc|rp: 331
rp|cc: 71
rb|rp: 334
vbg|rb: 889
ppls|vbg: 26
in|ppls: 80
pps|.: 5700
bedz|pps: 2681
jj-tl|in: 664
(|np-tl: 29
wdt|(: 31
ppss|wdt: 515
)|vb: 17
dod|): 5
.|vbn: 1886
cs|nn: 3193
vbn|bedz: 2142
,|vbn: 1569
