furthermore|rb: 0.0010200034000113333
,|,: 0.9999467613132209
as|cs: 0.2716504220491536
an|at: 0.03799054448199977
encouragement|nn: 8.777912072329996e-05
to|in: 0.0915883695680052
UNK|nn: 0.06991944577613624
thinking|nn: 0.0002700896022255383
it|pps: 0.3195159192444721
manifestly|rb: 0.00014166713889046296
is|bez: 0.9998985595455467
fair|jj: 0.000885825186425937
to|to: 0.9999306374419089
admit|vb: 0.0011037866012570904
that|cs: 0.29240311523574125
any|dti: 0.4554106450475855
fraternity|nn: 3.376120027819229e-05
has|hvz: 0.9987463435018805
a|at: 0.23415568963157174
constitutional|jj: 0.0004026478120117895
right|nn: 0.0008237732867878919
refuse|vb: 0.000459911083857121
accept|vb: 0.002023608768971332
persons|nns: 0.0022037126956261904
dislikes|vbz: 0.0004152823920265781
.|.: 0.8050280278579922
the|at: 0.704594033968264
unitarian|jj: 0.00011274138736330107
clergy|nns: 3.7351062637732046e-05
were|bed: 0.9996828417380272
exclusive|jj: 0.0004348596369727327
club|nn: 0.00046590456383905363
of|in: 0.29048722311039676
cultivated|vbn: 0.0002819880155093409
gentlemen|nns: 0.0003735106263773204
--|--: 1.0
term|nn: 0.0004996657641172459
was|bedz: 1.0
then|rb: 0.03717345724485748
understood|vbn: 0.001339443073669369
in|in: 0.17215672528618695
back|jj-tl: 0.000501002004008016
bay|nn-tl: 0.00293187254069902
and|cc: 0.7573747121394889
parker|np: 0.0018832391713747645
definitely|rb: 0.0005383351277837593
not|*: 0.9993278064082456
gentleman|nn: 0.0001755582414465999
either|cc: 0.004962166904265819
theology|nn: 0.00010803584089021533
or|cc: 0.11089483495997368
manners|nns: 0.00028013296978299034
UNK|np: 0.20808298209428153
honorable|jj: 0.00014495321232424423
representative|nn: 0.00015530152127968453
addressed|vbd: 0.00027586206896551725
himself|ppl: 0.4887029288702929
frankly|rb: 0.0003683345611152037
issue|nn: 0.0008507822470104457
1845|cd: 0.00038069133546520483
insisting|vbg: 0.00028740587457607634
should|md: 0.07135745104546963
be|be: 1.0
UNK|vbn: 0.07282340500528728
this|dt: 0.5756601607347877
republic|nn: 4.051344033383075e-05
no|at: 0.01822661654610355
power|nn: 0.0020324242567471757
restrain|vb: 0.00030660738923808065
him|ppo: 0.23354623715634545
by|in: 0.04360984534363806
force|nn: 0.0011546330495141764
could|md: 0.1267009624958513
exist|vb: 0.0017783228575808678
even|rb: 0.027058423528078426
so|rb: 0.01581005270017567
UNK|rb: 0.0386467954893183
argued|vbd: 0.0006699507389162562
