The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
,|rb: 0.13036210120700403
cs|,: 0.05139307897071872
at|cs: 0.25532807909341043
nn|at: 0.49420349369807626
in|nn: 0.27678107212067604
nn|in: 0.14289256127691952
nn|nn: 0.07643535742982735
,|nn: 0.1198995266679721
pps|,: 0.04656610470275067
rb|pps: 0.03783294689815077
bez|rb: 0.004873349577831926
jj|bez: 0.12649624670318524
to|jj: 0.019810272350980044
vb|to: 0.826108066865506
cs|vb: 0.040625479074045685
dti|cs: 0.010119852632560742
nn|dti: 0.39936552696510397
hvz|nn: 0.005064180041728843
at|hvz: 0.09360635185959047
jj|at: 0.19883964578660854
nn|jj: 0.44470034949830084
to|nn: 0.016786068778317207
to|vb: 0.035198528284531655
nns|vb: 0.025479074045684502
pps|nns: 0.004538154110484444
vbz|pps: 0.07543968783577447
.|vbz: 0.02782392026578073
at|.: 0.12993035501953457
nns|jj: 0.18808484594694713
bed|nns: 0.021663616329884585
at|bed: 0.056771328893117666
vbn|in: 0.00519795843343108
nns|vbn: 0.043672893902009166
--|nns: 0.008908228439099093
cs|--: 0.052486187845303865
bedz|nn: 0.017326247982768283
rb|bedz: 0.11186225837118412
vbn|rb: 0.08437694792315975
in|vbn: 0.3597814592879803
at|in: 0.3583086116834375
jj-tl|at: 0.01440439713175601
nn-tl|jj-tl: 0.4281062124248497
--|nn-tl: 0.0050150451354062184
cc|--: 0.1270718232044199
np|cc: 0.05173264612347845
bedz|np: 0.027889875347502466
*|rb: 0.0024083413611378705
at|*: 0.06856374635895138
cc|,: 0.15568766637089618
in|cc: 0.05351463976313192
cc|nn: 0.05931842888878385
nns|in: 0.0449691798681702
.|nns: 0.13948754342061032
np|.: 0.05923220655682011
np|np: 0.2223417929632619
,|np: 0.16225749559082892
at|,: 0.0923868677905945
vbd|,: 0.02598047914818101
ppl|vbd: 0.007881773399014778
rb|ppl: 0.048535564853556486
in|rb: 0.145350484501615
cd|in: 0.03376963126982363
,|cd: 0.10255824577432618
vbg|,: 0.03971606033717835
cs|vbg: 0.018508938322699314
np|cs: 0.05274448537984424
md|np: 0.01641108420769438
*|md: 0.054762694988383674
be|*: 0.044364777055792066
vbn|be: 0.4826969943135662
cc|vbn: 0.03151216073316884
vbn|cc: 0.027195964469788354
cs|cc: 0.02012282048470227
in|cs: 0.0345567318005876
dt|in: 0.027323478870469955
nn|dt: 0.4881745120551091
at|nn: 0.006813010216139204
ppo|vb: 0.09130768051510041
in|ppo: 0.16106637045265204
md|nn: 0.018413358631726075
vb|md: 0.4128775307002987
.|vb: 0.03829526291583627
rb|.: 0.06159334126040428
rb|rb: 0.02742675808919363
np|,: 0.06363797692990239
rb|np: 0.014228918183720443
vbd|rb: 0.046806822689408965
,|vbd: 0.054935960591133
nn-tl|at: 0.025871055374798623
md|nn-tl: 0.014427899081860967
rb|md: 0.08338864918685696
vb|rb: 0.04816682722275741
``|np: 0.0012853854661764267
md|``: 0.005528761322197389
vbg|in: 0.03186314322598295
pp$|vbg: 0.03644306489624648
nns|pp$: 0.1922583796324562
in|nns: 0.26289545437567696
dts|in: 0.008651865024066206
wps|dts: 0.08729139922978177
vb|wps: 0.10671211326691138
in|vb: 0.14110072052736472
ppo|in: 0.03302584445451359
pp$|in: 0.06360659661961716
nn|pp$: 0.5115086391110568
''|nn: 0.01791369286760883
.|'': 0.5315123566276457
ppss|.: 0.05075590283675896
nr|ppss: 7.519362358072035e-05
ber|nr: 0.002612671456564337
*|ber: 0.045133991537376586
vbn|*: 0.08133542460228546
to|vbn: 0.05259076489249207
jj|vb: 0.0387858347386172
wps|nns: 0.01755499943973406
vbd|wps: 0.24514944939695857
np|vbd: 0.025655172413793104
